Date,Start time,End time,Duration,rel. Duration,Project,Description,Tags
1/17/19,17:30,18:07,00:37:00,00:37:00,Hogwarts Crest,Shopping (fabric and most colours),
1/17/19,21:52,22:21,00:29:00,00:29:00,Hogwarts Crest,Setting up!!,
1/18/19,08:06,08:53,00:47:00,00:47:00,Hogwarts Crest,Stitching 310 on train,"310, On 🚆, Page 1"
1/18/19,10:09,11:56,01:47:00,01:03:00,Hogwarts Crest,,"At Work, Frogging, Page 1"
1/18/19,16:15,16:43,00:28:00,00:26:00,Hogwarts Crest,,"310, At Work, Page 1"
1/19/19,14:24,14:54,00:30:00,00:30:00,Hogwarts Crest,,"310, On 🚆, Page 1"
1/19/19,15:56,16:40,00:44:00,00:44:00,Hogwarts Crest,,"310, At Uni, Page 1"
1/19/19,16:57,18:32,01:35:00,01:08:00,Hogwarts Crest,,"310, At Uni, Page 1"
1/20/19,15:26,15:53,00:27:00,00:27:00,Hogwarts Crest,,"310, At Josh's, Page 1"
1/21/19,06:55,07:26,00:31:00,00:31:00,Hogwarts Crest,,"310, On 🚆, Page 1"
1/21/19,18:38,19:39,01:01:00,01:01:00,Hogwarts Crest,,"310, At Home, Page 1"
1/21/19,19:39,21:33,01:54:00,01:19:00,Hogwarts Crest,,"310, At Home, Page 1"
1/22/19,12:09,12:47,00:38:00,00:38:00,Hogwarts Crest,,"310, At Work, Page 1"
1/22/19,20:10,21:15,01:05:00,01:05:00,Hogwarts Crest,,"310, At Home, Page 1"
1/23/19,07:09,07:41,00:32:00,00:32:00,Hogwarts Crest,,"310, On 🚆, Page 1"
1/23/19,15:10,15:29,00:19:00,00:19:00,Hogwarts Crest,,"310, At Work, Page 1"
1/23/19,17:30,18:24,00:54:00,00:54:00,Hogwarts Crest,,"310, On 🚆, Page 1"
1/24/19,09:56,10:09,00:13:00,00:13:00,Hogwarts Crest,,"Frogging, On 🚆, Page 1"
1/24/19,10:05,10:23,00:18:00,00:18:00,Hogwarts Crest,,"310, On 🚆, Page 1"
1/24/19,13:48,14:00,00:12:00,00:12:00,Hogwarts Crest,,"310, At Work, Page 1"
